query,original_chunk,hit_score,original_chunk_found,rank,retrieval_time
Challenge thinking in decision making processes,"• Solicit diverse ideas that challenge thinking. 

> 5 of 19 Code of Conduct
> TOC  Decision making  Speak Up Introduction  Do what is right  Closing

# Decision making 

Wells Fargo’s employees make decisions each",1,True,1,0.8394665718078613
What decisions should I make if they don't align with the Code?,"Do what is right  Closing

# Decision making 

Wells Fargo’s employees make decisions each day and must evaluate whether those decisions align with the Code. 

If the answer to any of these questions is no, do not proceed .",1,True,1,0.8705511093139648
When should I seek guidance on a workplace decision?,"with the Code. 

If the answer to any of these questions is no, do not proceed .

# Seek guidance when not sure 

While every decision matters, no single document can cover every possible situation or govern every decision made in the workplace.",1,True,1,0.9074311256408691
Is employee code guidance provided by manager legal,"Employees are expected to use good judgement in applying the Code. If they are uncertain of the right course of action, they should seek guidance from their manager. 

Questions to ask: 

1) Is it legal?",1,True,1,0.8945226669311523
Compliance with Wells Fargo's Code of Conduct and policies.,"Questions to ask: 

1) Is it legal? 

2) Does it comply with Wells Fargo’s Code of Conduct and policies? 

3) Is it consistent with our expectations?",0,False,Not in top k,0.9106199741363525
Is our decision consistent with customer and shareholder obligations?,"3) Is it consistent with our expectations? 

4) Does it align with our obligations to our customers or shareholders? 

5) Are we comfortable if our decision is made public? 

Yes to all. 

Decision is likely 

ethical.",1,True,1,0.9408454895019531
What is the correct response when unsure about a decision?,"Yes to all. 

Decision is likely 

ethical. 

Not sure. 

Seek guidance. 

No to any. 

Do not 

proceed. 

> TOC  Decision making  Speak Up Introduction  Do what is right",1,True,1,0.8410153388977051
What is right in decision making at Wells Fargo,"> TOC  Decision making  Speak Up Introduction  Do what is right  Closing

Related resources include: 

• Ethics site on Teamworks 

• Policies and procedures 

• Employee Relations 

• Legal Department 

• Control Management or Independent Risk Management",0,False,Not in top k,0.8114011287689209
Reporting misconduct in the workplace immediately,"Policies and procedures 

• Employee Relations 

• Legal Department 

• Control Management or Independent Risk Management contacts 

• Ethics Office 

> 6 of 19 Code of Conduct

# Speaking up 

Employees are responsible for speaking up promptly when becoming aware of",0,False,Not in top k,0.8089797496795654
Reporting misconduct in the Code of Conduct,"Code of Conduct

# Speaking up 

Employees are responsible for speaking up promptly when becoming aware of potential misconduct, including potential violations of the Code, even if the employee is not directly involved or affected by the behavior.",1,True,1,0.8175210952758789
Investigating allegations of misconduct in the workplace.,"even if the employee is not directly involved or affected by the behavior. Allegations of misconduct are investigated and managed in an objective, thorough, consistent, and timely manner with the goal of understanding and resolving concerns.",1,True,1,0.818279504776001
Reporting potential misconduct to manager or other channels,"# Resources to report potential misconduct 

Employees are expected to report potential misconduct to their manager. If employees are uncomfortable doing so, they can report through the other reporting channels listed below.",1,True,1,0.8958265781402588
Report concerns to Employee Relations 24 hours a day.,"If employees are uncomfortable doing so, they can report through the other reporting channels listed below. 

Reporting channels The EthicsLine is a third-party resource 

• Employee Relations available 24 hours a day, 7 days a week.",0,False,Not in top k,0.917186975479126
How to report ethics concerns by phone in the US.,"To the 

• EthicsLine by phone extent permitted by local or applicable laws and 

− U.S. and Canada (800) 382-7250 regulations, employees may choose to remain 

− non-U.S.",1,True,1,0.8249492645263672
Reporting anonymous tip internationally,"use link and select country for specific anonymous. 

dialing instructions 

• EthicsLine Online Reporting (https://wellsfargo.ethicspoint.",1,True,1,0.8301196098327637
Reporting misconduct to regulatory bodies outside the US,"ethicspoint.com/ )

Nothing prohibits an employee from reporting potential misconduct or potential noncompliance with laws and regulations by Wells Fargo directly to the applicable regulatory bodies or government agencies or authorities. 

Additional information for non-U.S.",1,True,1,0.8153705596923828
Reporting procedures for non US employees grievance resolution,"Additional information for non-U.S. based employees 

Where applicable, follow local grievance resolution or reporting procedures. If there is no specific grievance resolution or reporting procedure, use a reporting channel listed above.",1,True,1,0.8355667591094971
Cooperation with internal or external investigations at Wells Fargo.,"If there is no specific grievance resolution or reporting procedure, use a reporting channel listed above. 

Duty to cooperate 

Wells Fargo employees are expected to fully cooperate in any internal or external investigation that is being conducted or directed by Wells Fargo.",1,True,1,0.8622305393218994
Tampering with information during internal investigations.,"Employees must not withhold or tamper with information, or in any way attempt to influence others participating in the investigation.",1,True,1,0.8250536918640137
Reporting non misconduct concerns at work,"# Reporting concerns that are not misconduct 

Concerns unrelated to misconduct such as performance feedback, workplace disputes, inadvertent errors, business processes, or not following procedures should also be raised.",1,True,1,0.8260538578033447
Reporting channels for workplace disputes and performance concerns.,"Managers are the starting point to help resolve these concerns or guide employees to the appropriate reporting channel. Employees should consider the following reporting channels: 

• Employee Relations for performance concerns or workplace disputes.",1,True,1,0.8193221092224121
Reporting channels for workplace disputes at Wells Fargo.,"Employees should consider the following reporting channels: 

• Employee Relations for performance concerns or workplace disputes. 

• Control Management or Independent Risk Management for risks, errors, or business process concerns. 

• Wells Fargo Employee Assistance Consulting (U.S.)",1,True,1,0.953127384185791
Employee Assistance Program support for work difficulties,"• Wells Fargo Employee Assistance Consulting (U.S.) and Employee Assistance Program (International) for support in resolving personal and work-related difficulties. 

• Loudspeaker for ideas and business process improvements.",1,True,1,0.8342089653015137
Improvement ideas through loudspeaker system,"• Loudspeaker for ideas and business process improvements. 

• Policy Governance Platform (PGP) for identified policy violations, in accordance with the Policy Management Procedures. 

> 7 of 19 Code of Conduct
> TOC  Decision making",1,True,1,0.8260846138000488
Nonretaliation policy for reporting misconduct.,"> 7 of 19 Code of Conduct
> TOC  Decision making  Speak Up Introduction  Do what is right  Closing

# Nonretaliation commitment 

Wells Fargo prohibits retaliation against any employee who reports misconduct or speaks up in",0,False,Not in top k,0.8105130195617676
Reporting misconduct without retaliation policy,"commitment 

Wells Fargo prohibits retaliation against any employee who reports misconduct or speaks up in good faith about potential violations of company policies, procedures, this Code, or potential noncompliance with law.",0,False,Not in top k,0.8032751083374023
Retaliation against employees who report policy violations.,"potential violations of company policies, procedures, this Code, or potential noncompliance with law. Similarly, Wells Fargo prohibits retaliation against any employee who assists or participates in an investigation, proceeding, or hearing, or exercises any right protected by law.",1,True,1,0.8378827571868896
Reporting financial reporting code violations,"Employees must report potential retaliation using methods listed under Resources to report potential misconduct. 

# Accounting, internal controls, or auditing matters 

If an employee becomes aware of Code violations related to Wells Fargo’s financial reporting, accounting, internal controls,",1,True,1,0.798879861831665
Reporting internal control or audit violations to whom,"accounting, internal controls, or audit matters, then they must report such violations using a reporting channel listed under Resources to report potential misconduct or directly to the Audit Committee of the Board.",1,True,1,0.8213305473327637
Communicating with Board directors or committees process,Information about communicating with directors or other committees of the Board and the process for reviewing communications sent to the Board or its members is available on the Leadership and Governance page of wellsfargo.com .,1,True,1,0.8408422470092773
What to do in case of workplace violence threat,"# Safety concerns 

Acts of violence, threats or perceived threats should be taken seriously. In the event of immediate danger, employees should contact local law enforcement at 911 or other designated emergency number.",1,True,1,0.8797657489776611
Report non-emergency security threats to Wells Fargo.,"Non-emergency threats can be reported to the Wells Fargo Security Response Center at U.S. (877) 494-9355, non-U.S. call 

001‑480‑437‑7599 , or to a manager.",1,True,1,0.929358720779419
Eligibility requirements for banking industry employees.,"call 

001‑480‑437‑7599 , or to a manager. 

# Required employee self-reporting 

Wells Fargo has processes in place to confirm that each employee is eligible to work and participate in the banking industry.",0,False,Not in top k,0.8706762790679932
Criminal background check requirements for new hires,"Wells Fargo offers of employment are contingent upon the candidate successfully passing a criminal background check. Wells Fargo may also conduct additional background checks during employment. Unless prohibited by local law, employees must notify Employee Relations if they are convicted of,",1,True,1,0.8144998550415039
crime convictions involving dishonesty or breach of trust,"Unless prohibited by local law, employees must notify Employee Relations if they are convicted of, or enter a plea of guilty or no contest to, any crime involving dishonesty, breach of trust, money laundering, or the manufacture, sale, distribution,",1,True,1,0.830925703048706
Offenses impacting employment eligibility criteria,"breach of trust, money laundering, or the manufacture, sale, distribution, or trafficking of controlled substances so that Wells Fargo can assess whether the offense impacts the employee’s employment eligibility. 

> 8 of 19 Code of Conduct
> TOC",1,True,1,0.8381154537200928
Conflicts of interest in decision making process,"> 8 of 19 Code of Conduct
> TOC  Decision making  Speak Up Introduction  Do what is right  Closing

# Upholding our ethical and legal obligations 

# Identify and avoid conflicts of interest 

Wells Fargo is",0,False,Not in top k,0.8175857067108154
conflicts of interest in Wells Fargo policies,"Upholding our ethical and legal obligations 

# Identify and avoid conflicts of interest 

Wells Fargo is committed to identifying and either preventing or managing conflicts of interest.",1,True,1,0.8220136165618896
Conflict of interest company reputation jeopardy,"of interest 

Wells Fargo is committed to identifying and either preventing or managing conflicts of interest. Employees need to recognize that certain activities can cause an actual, potential, or perceived conflict of interest, or jeopardize the company’s integrity or reputation.",1,True,1,0.8213183879852295
Managing conflicts of interest in the workplace.,"Employees are expected to be transparent and to: 

• Identify and avoid conflicts where possible. 

• Pre-clear or disclose conflicts when required. 

• Mitigate or manage conflicts when necessary.",0,False,Not in top k,0.8756663799285889
What are employee conflict of interest disclosure requirements?,"• Pre-clear or disclose conflicts when required. 

• Mitigate or manage conflicts when necessary. 

• Conduct personal activities away from work, outside of scheduled work time, and at their own expense.",0,False,Not in top k,0.8959729671478271
pre-clearance of personal activities under company policies,"Some employees are subject to additional requirements and restrictions, including pre-clearance of personal activities under company business policies and procedures.",1,True,1,0.8104500770568848
pre-clearing employee activities with potential conflicts,"# Manage, mitigate, disclose, or pre -

# clear conflicts 

Employees need to pre-clear any activity that may give rise to a conflict prior to engaging in the activity. In addition, certain relationships and activities require disclosure to mitigate risk.",1,True,1,0.8490917682647705
Compliance instructions for mitigating conflict of interest,"In addition, certain relationships and activities require disclosure to mitigate risk. Once the pre-clearance or disclosure is processed, Compliance provides specific instructions on how to mitigate or manage any potential conflict of interest.",1,True,1,0.8213775157928467
Conflict of interest definition Wells Fargo employees,"Definitions 

A personal conflict of interest occurs when an employee acts, or appears to act, in their personal interest rather than acting in the interest of Wells Fargo or its customers.",1,True,1,0.8146178722381592
Using company property for personal benefit,"Examples of personal conflicts: 

• An employee receives an improper benefit or gift because of their position with Wells Fargo. 

• An employee uses company property, information, or position for personal benefit or to compete or divert business from Wells Fargo.",1,True,1,0.8189377784729004
Conflict of interest in advisory services and financing transactions.,"A business conflict of interest occurs when Wells Fargo’s interests conflict with those of a customer. 

Examples of business conflicts: 

• Providing advisory services to a customer on a transaction while providing financing to another customer on the same transaction.",1,True,1,0.827038049697876
acting as trustee to debt security investors,"• Acting as trustee to investors on a debt security and acting as a lender to the security issuer. 

> TOC  Decision making  Speak Up Introduction  Do what is right  Closing

Did you know?",1,True,1,0.8515815734863281
disclosing conflicts after engaging in activities,"Sometimes a conflict arises after engaging in an activity. In these situations, the conflict must be disclosed as soon as possible. 

> 9 of 19 Code of Conduct 10 of 19 Code of Conduct

# Examples of potential conflicts",1,True,1,0.8583652973175049
Examples of potential conflicts of interest in the Code of Conduct.,"of 19 Code of Conduct 10 of 19 Code of Conduct

# Examples of potential conflicts 

Below are some common situations where conflicts of interest may be present and how employees are expected to avoid the conflict of interest by not engaging in prohibited activities",1,True,1,0.9146578311920166
What situations require pre-clearance to avoid conflict of interest?,may be present and how employees are expected to avoid the conflict of interest by not engaging in prohibited activities or obtaining pre-clearance when required. The list of situations is not meant to be a complete list of every place a conflict can occur.,1,True,1,0.8574779033660889
Competing business owned by Wells Fargo employees.,"Outside activities 

Employees generally may not: 

• Own or operate a business that competes with Wells Fargo.",1,True,1,0.8116805553436279
Wells Fargo conflict of interest secondary employment rules,"• Accept secondary employment or perform consulting services with any entity that competes with Wells Fargo, otherwise conflicts with their Wells Fargo duties, or diverts Wells Fargo business.",1,True,1,0.8305716514587402
Salesperson conflict of interest own residence purchase,"• Act as a real estate salesperson, broker, or agent, except for the purchase or sale of their own residence.",1,True,1,0.8112103939056396
director positions without pre clearance,"• Accept a position with any for-profit business as a director, trustee, officer, general partner, or similar position of influence without pre-clearance. 

• Be compensated directly or indirectly for providing investment or legal advice.",1,True,1,0.8171534538269043
Conflict of interest in employee financial advice,"• Be compensated directly or indirectly for providing investment or legal advice. 

• Engage in activities related to the preparation, audit, or certification of statements or documents that Wells Fargo may rely on to make lending or other decisions related to any person or entity other than the employee.",0,False,Not in top k,0.8055844306945801
Wells Fargo volunteer and charitable activities policy,"• Speak on the company’s behalf in the media without prior approval or publish works related to their role or the company without prior approval. 

Volunteer and charitable activities 

Wells Fargo encourages employees to be active volunteers in the community.",1,True,1,0.8209807872772217
Volunteer activities requiring pre-clearance at Wells Fargo,"Volunteer and charitable activities 

Wells Fargo encourages employees to be active volunteers in the community. While many volunteer activities do not require pre-clearance, to avoid actual, potential, or perceived conflicts,",1,True,1,0.8294646739959717
Nonprofit financial management approval requirements.,"to avoid actual, potential, or perceived conflicts, employees must review pre-clearance requirements and when required obtain approval prior to engaging in certain nonprofit activities, including: 

• Managing the finances or investments of the nonprofit.",1,True,1,0.8953714370727539
Wells Fargo employee financial product influence policy.,"including: 

• Managing the finances or investments of the nonprofit. 

• Selecting or influencing selection of financial products or services. 

• Participating on the Board of an organization that is a Wells Fargo customer for more than deposit services.",0,False,Not in top k,0.8951292037963867
Soliciting funds from customers or employees for a nonprofit.,"• Receiving compensation for service. 

Employees may not solicit Wells Fargo customers, employees, or third-party service providers when raising funds for a nonprofit.",1,True,1,0.8542335033416748
workplace relationships interfering with job responsibilities,"Personal r elationships 

Personal relationships in the workplace may interfere with job responsibilities and decision making. For this reason, all employees, new hires,",1,True,1,0.8266360759735107
Wells Fargo employee personal relationship disclosure policy.,"For this reason, all employees, new hires, or rehires are required to disclose personal relationships (as defined in the Personal and Family Relationships at Work Policy) with other Wells Fargo employees or contingent resources so the relationship may be reviewed for potential conflicts.",1,True,1,0.840794563293457
Related Person Transaction Policy and Procedures requirements,"Additional requireme nts for the Board, executive officers, and certain stockholders and their immediate family members are outlined in the Related Person Transaction Policy and Procedures. 11 of 19 Code of Conduct 

# Examples of potential conflicts,",1,True,1,0.8331568241119385
Wells Fargo gift and entertainment policies.,"11 of 19 Code of Conduct 

# Examples of potential conflicts, continued 

Gifts and entertainment 

Wells Fargo permits giving and receiving business gifts and entertainment provided there is no reasonable inference that the gift or entertainment could influence the performance or decision making of any employee.",1,True,1,0.8435537815093994
Gifts and entertainment with business associates guidelines,"The gift or entertainment with any one individual or entity should occur infrequently and be consistent with accepted, lawful business practices and customs.",1,True,1,0.8301112651824951
Gifts for business referrals or advantages,"Employees should conduct themselves in accordance with the following expectations: 

• Refrain from giving and receiving gifts offered in exchange for business referrals or other business advantages.",1,True,1,0.8218348026275635
Gifts that are not allowed by Wells Fargo policy,"• Never give or receive gifts that are cash or cash equivalents, cannabis-related, or otherwise do not comply with our policies.",1,True,1,0.9219682216644287
preclearing gifts with government officials globally,• Follow requirements to pre-clear the exchange of any gift or entertainment with government officials or government entities through the Global Preclearance System. Gifts or entertainment provided to government officials or government entities are controlled by strict laws and regulations.,1,True,1,0.9125185012817383
Reporting payments to labor organizations or their representatives.,"Gifts or entertainment provided to government officials or government entities are controlled by strict laws and regulations. 

• Report a payment, loan, gift, entertainment, or anything else of value provided to labor organizations or their representatives, as these transactions are also subject to strict laws and regulations.",1,True,1,0.8367717266082764
gifts or entertainment in contract negotiations,"• Consult with a manager before providing gifts or entertainment to individuals or entities involved in contract negotiations or competitive bidding with Wells Fargo. 

Interactions with third parties 

When engaging with a third party on behalf of Wells Fargo,",1,True,1,0.826390266418457
Third party relationships creating conflict of interest risks,"Interactions with third parties 

When engaging with a third party on behalf of Wells Fargo, employees must confirm that the third party relationship does not create undue risks, including a conflict of interest,",1,True,1,0.8244984149932861
Third party relationships creating undue risks to internal controls.,"employees must confirm that the third party relationship does not create undue risks, including a conflict of interest, or impair the quality and independence of Wells Fargo’s internal controls, or the ability of relevant authorities to oversee and supervise compliance with regulatory requirements.",1,True,1,0.831557035446167
Employee participation in political activities allowed.,"or the ability of relevant authorities to oversee and supervise compliance with regulatory requirements. 

Political activities 

Employees have the right to participate in the political process and to support candidates, parties, or initiatives of their choice.",1,True,1,0.8040707111358643
What are Wells Fargo's policies on lobbying and pay-to-play laws?,"Such participation must be outside the workplace unless pre-cleared. Political activity is strictly regulated under 

U.S. lobbying and pay-to-play laws.",0,False,Not in top k,0.8722341060638428
Wells Fargo employee political activity disclosure requirements,"Political activity is strictly regulated under 

U.S. lobbying and pay-to-play laws. Employees must: 

• Be clear that personal political opinions and activities are not represented as those of Wells Fargo.",1,True,1,0.8671989440917969
Public office candidate pre-clearance approval requirements,"• Obtain pre-clearance approval before becoming, agreeing to become, or announcing intention to become a candidate or appointee to a public office. 

• Obtain pre-clearance approval before communicating with U.S.",1,True,1,0.8721837997436523
pre clearance approval for government business solicitations,• Obtain pre-clearance approval before communicating with U.S. government officials or entities for the purpose of soliciting new government business.,1,True,1,0.8885467052459717
Company political contributions without government relations approval,"government officials or entities for the purpose of soliciting new government business. 

• Never make political contributions on behalf of the company without prior approval from the Government Relations and Public Policy team.",1,True,1,0.8498272895812988
Wells Fargo campaign contribution policy Political Action Committees,"Company funds are never used for any campaign contributions, candidate campaign committees, political parties, caucuses, or independent expenditure committees. Wells Fargo supports U.S. candidates seeking public office only through Wells Fargo-sponsored Political Action Committees.",1,True,1,0.823993444442749
Wells Fargo employee political activity approval process.,"candidates seeking public office only through Wells Fargo-sponsored Political Action Committees. 

Covered employees and their family members are subject to additional requirements and restrictions, including approval of outside political activities, contributions, and fundraising under applicable laws.",1,True,1,0.8282361030578613
Wells Fargo employee professional designations requirements,"12 of 19 Code of Conduct 

# Examples of potential conflicts, continued 

Use of professional designations 

Wells Fargo acknowledges employees may maintain specialized, professional designations that may not relate to their duties with the company.",1,True,1,0.8369393348693848
Professional licenses and certifications required by employees.,"These include but are not limited to legal, medical, notary, accounting, and investment licenses and certifications.",1,True,1,0.8046112060546875
Fiduciary duties and professional designation requirements,"Employees must not misrepresent or use their professional designation if it is not appropriate for their role or if prohibited by company policy or applicable laws and regulations. 

Fiduciary and investment duties 

When executing fiduciary duties or responsibilities,",1,True,1,0.8248565196990967
Fiduciary duties when acting as investment manager,"Fiduciary and investment duties 

When executing fiduciary duties or responsibilities, acting as a trustee, investment manager, or in any similar capacity in which the company possesses investment discretion on behalf of another,",1,True,1,0.8345253467559814
Wells Fargo investment manager fiduciary duty policy.,"investment manager, or in any similar capacity in which the company possesses investment discretion on behalf of another, Wells Fargo acts in the best interest of our clients. If a conflict arises, the company puts the client’s interests ahead of its own.",1,True,1,0.8272905349731445
executor appointments in employee roles,"If a conflict arises, the company puts the client’s interests ahead of its own. 

Employees may accept appointments as an executor, personal representative, administrator, guardian, trustee,",1,True,1,0.8939745426177979
Executor appointments for personal relationships.,"Employees may accept appointments as an executor, personal representative, administrator, guardian, trustee, or any similar fiduciary capacity only for those with whom they have a personal relationship, unless the personal relationship developed in the context of a Wells Fargo customer relationship.",1,True,1,0.8089580535888672
Wells Fargo employee personal finance compliance laws.,"unless the personal relationship developed in the context of a Wells Fargo customer relationship. 

Personal finances, borrowing, and lending 

Wells Fargo expects all employees to handle their personal finances in compliance with laws and regulations.",1,True,1,0.8776693344116211
